"codepci","libepci","cat_cs3","cat_cs6","cat_cs7","cat_cs8"
"200044253","CC du Bassin de Joinville en Champagne",,,,"0_0"
"200044394","CC du Réolais en Sud Gironde",,,,
"200044469","CC du Pays de Mirepoix",,"1_0","0_1",
"200044618","CA du Douaisis (C.A.D.)",,,,
"200044691","CA du Nord Grande Terre",,,,"0_1"
"200046977","Métropole de LYON",,,"0_0","1_1"
"200048551","CC du Pays de Craon",,"1_1",,"0_0"
"200049187","CA du Grand Verdun",,,,
"200049211","CC Conflent-Canigó",,,"1_1","0_0"
"200049484","CC Berry Grand Sud",,,"1_1",
"200054781","Métropole du Grand Paris",,,,"1_1"
"200054807","Métropole d'Aix-Marseille-Provence",,,,
"200055481","CC Beauce Val de Loire",,,,"0_0"
"200055655","CA Roissy Pays de France",,,,
"200055887","CC Mayenne Communauté",,"1_1",,
"200056232","CA Communauté Paris-Saclay",,,"0_0",
"200056380","CA Plaine Vallée",,,"0_0",
"200057859","CA Coeur d'Essonne Agglomération",,,"0_0",
"200057958","CA Paris - Vallée de la Marne",,,,
"200058360","CC Entre Beauce et Perche",,,,
"200058477","CA Val d'Yerres Val de Seine",,,,
"200058485","CA Val Parisis",,,,
"200058519","CA Saint-Germain Boucles de Seine","1_1",,,"0_1"
"200058782","CA de Saint-Quentin-en-Yvelines",,,,
"200059228","CA Grand Paris Sud Seine Essonne Sénart",,,,
"200059392","CC Bièvre Isère",,,,
"200059400","CC Porte Océane du Limousin",,,,
"200059889","CU Grand Paris Seine et Oise",,,,
"200060010","CA Mauges Communauté",,,,
"200065563","CC Normandie-Cabourg-Pays d'Auge",,"1_0",,
"200065589","CC Val Ès Dunes",,"1_1",,"0_1"
"200065597","CU Caen la Mer","0_1",,,"1_1"
"200065647","CA Pays de Montbéliard Agglomération",,,,
"200065787","CC de Pont-Audemer / Val de Risle",,,,
"200065886","CA Loire Forez Agglomération Lfa",,,,
"200065894","CC de Forez-Est",,,,
"200065928","CA Lannion-Trégor Communauté",,"0_0","1_1",
"200066009","CA Mulhouse Alsace Agglomération",,,,
"200066017","CC Lieuvin Pays d'Auge",,,,"0_0"
"200066025","CC Pays Rhin - Brisach",,,,
"200066033","CC Sud Alsace Largue",,,"1_0",
"200066041","CC Sundgau",,"1_1",,
"200066058","CA Saint-Louis Agglomération",,,,
"200066108","CC Haute Saulx et Perthois-Val d'Ornois",,"1_1",,
"200066116","CC Argonne-Meuse","0_0",,,"0_0"
"200066124","CA Gaillac-Graulhet",,"1_0",,
"200066132","CC du Pays de Stenay et du Val Dunois",,,,"0_0"
"200066140","CC de l'Aire à l'Argonne",,,,"0_0"
"200066157","CC de Commercy - Void - Vaucouleurs",,"1_1",,"0_1"
"200066165","CC Val de Meuse - Voie Sacrée",,"0_1",,
"200066173","CC de Damvillers Spincourt",,,,"0_1"
"200066223","CC Arize Lèze",,"1_0","0_1","0_0"
"200066231","CC des Portes d'Ariège Pyrénées",,,,
"200066280","CC du Pithiverais",,"1_1",,
"200066322","CC Terres des Confluences",,,,
"200066330","CC Terres du Haut-Berry",,,,
"200066348","CC Minervois Saint-Ponais Orb-Jaur",,"0_0",,
"200066355","CA du Bassin de Thau",,,"1_1","0_1"
"200066363","CC de la Haute Ariège",,"0_0","1_1","0_0"
"200066371","CC Causses et Vallée de la Dordogne",,,"1_1","0_0"
"200066389","CA Saint-Lô Agglo",,,,
"200066405","CC Roumois Seine",,,"0_0",
"200066413","CC Intercom Bernay Terres de Normandie",,"1_1",,
"200066462","CC Interco Normandie Sud Eure",,,,
"200066512","CC Élan Limousin Avenir Nature",,,,
"200066520","CC Ouest Limousin",,,"0_1",
"200066553","CC des Monts de Lacaune et de la Montagne du Haut Languedoc","1_0",,"1_1","0_0"
"200066561","CC Sidobre Vals et Plateaux",,,"0_1","0_0"
"200066587","CC des Monts du Lyonnais",,,,"0_1"
"200066603","CC du Pays de Lubersac-Pompadour","0_0",,"1_1",
"200066637","CC Hautes Terres",,,"1_1","0_0"
"200066645","CC Vézère-Monédières-Millesources",,,"1_1","0_0"
"200066652","CC Grand Sud Tarn et Garonne",,,"0_0",
"200066660","CC de Saint-Flour",,,,"0_0"
"200066678","CC de la Châtaigneraie Cantalienne",,,,"0_0"
"200066710","CC Cingal-Suisse Normande",,,,"0_1"
