CS1,DEP_ACTU,DEP_ANTE,nb_ind,pct_ind_RES,pct_ind_DCRAN,cas_MIG
6,02,03,1.01931763350023,1.32747246690506e-05,2.57395839529291e-05,MIG
6,02,04,2.71104341657091,3.53063203637917e-05,0.000179271959725128,MIG
6,02,06,1.04968017295264,1.36701405220069e-05,1.25422060574864e-05,MIG
6,02,08,64.5011873589258,0.000840008526170948,0.00162448140690957,MIG
6,02,11,12.4425603873645,0.000162041308706804,0.000364795482644358,MIG
6,02,12,6.98407347451501,9.09546243443707e-05,0.000243904511232331,MIG
6,02,13,3.99167554638668,5.19841824618581e-05,2.43100861280286e-05,MIG
6,02,14,7.84357828962892,0.000102148082985109,0.000101660772396634,MIG
6,02,17,1.05404967132497,1.37270451471485e-05,1.60048913635514e-05,MIG
6,02,18,3.78584543970688,4.93036264653988e-05,0.000101881108550567,MIG
6,02,21,8.8974358974359,0.000115872626860587,0.000149474179155735,MIG
6,02,22,3.1252488672392,4.07005793595479e-05,4.56982382516206e-05,MIG
6,02,24,3.06221217546594,3.98796431765209e-05,6.62254876592895e-05,MIG
6,02,25,9.03543677657058,0.000117669832770102,0.000120972226809898,MIG
6,02,26,8.50347637445121,0.000110742033582794,0.000149744007343916,MIG
6,02,27,5.2212564203872,6.79971964863857e-05,6.29543933957431e-05,MIG
6,02,28,4.13333333333333,5.3829012823996e-05,7.74642682305049e-05,MIG
6,02,29,3.01279080538096,3.92360213465006e-05,3.02950125671974e-05,MIG
6,02,2B,3.60586585192007,4.6959725609181e-05,0.000234355706455875,MIG
6,02,31,5.38908877940973,7.01829021814112e-05,5.2183912334281e-05,MIG
6,02,33,15.7221658072295,0.000204752096336698,0.000106550568299549,MIG
6,02,34,5.48655730970285,7.145224930248e-05,6.22173036112859e-05,MIG
6,02,35,3.93177493160843,5.12040878745039e-05,3.52190977135196e-05,MIG
6,02,36,4.05377821033393,5.27929546620244e-05,0.000141954854296075,MIG
6,02,37,2.84839491757239,3.7095069325599e-05,4.41651409132294e-05,MIG
6,02,38,12.1487380543984,0.000158214816901351,9.60936104439437e-05,MIG
6,02,39,10.128929119654,0.000131910545679484,0.000273499373247642,MIG
6,02,40,2.98865848714052,3.89217425881044e-05,6.39655729264516e-05,MIG
6,02,44,3.99999999999999,5.20925930554799e-05,2.86303285156005e-05,MIG
6,02,45,4.09601120806402,5.3342961253091e-05,5.07320638112618e-05,MIG
6,02,46,0.89093538257116,1.1602783580752e-05,5.21154387881758e-05,MIG
6,02,47,3.98519853050531,5.18998313237275e-05,0.000100562372088356,MIG
6,02,50,3.53634673054726,4.60543677843689e-05,5.67990644511566e-05,MIG
6,02,51,262.285107313711,0.00341577783995152,0.00370589750954251,MIG
6,02,52,4.98821119491613,6.49622139628889e-05,0.000193905656501697,MIG
6,02,54,3.21592019993612,4.18814055685426e-05,4.0486178134977e-05,MIG
6,02,55,5.19746121297602,6.76873079723004e-05,0.000195969035296457,MIG
6,02,56,6.84404772202718,8.91310482089617e-05,7.93056946108743e-05,MIG
6,02,59,180.692072915609,0.00235317965568599,0.000603803819369368,MIG
6,02,60,327.009019598512,0.00425868694585419,0.00322568953980591,MIG
6,02,62,35.1889094948449,0.000458270385595268,0.000183928915503792,MIG
6,02,64,2.89764906206068,3.77365133518801e-05,4.48195027000376e-05,MIG
6,02,65,10.0110109012512,0.000130374879238214,0.000458992488138992,MIG
6,02,66,1.01931763350023,1.32747246690506e-05,2.47525572329348e-05,MIG
6,02,67,5,6.511574131935e-05,3.51393056931403e-05,MIG
6,02,69,3.0229621214904,3.93684839042325e-05,1.96778796843021e-05,MIG
6,02,72,4.05745481078077,5.28408355747506e-05,5.36625239327965e-05,MIG
6,02,73,5,6.511574131935e-05,0.000107947891421408,MIG
